-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
20.0,73.125,2019,1,15.15
20.0,73.75,2019,1,11.45
20.0,74.375,2019,1,9.95
20.0,75.0,2019,1,10.13
20.0,75.625,2019,1,10.49
20.0,76.25,2019,1,11.83
20.0,76.875,2019,1,12.95
20.0,77.5,2019,1,12.23
20.0,78.125,2019,1,10.62
20.0,78.75,2019,1,9.49
20.0,79.375,2019,1,9.34
20.0,80.0,2019,1,9.13
20.0,80.625,2019,1,8.89
20.5,73.125,2019,1,15.15
20.5,73.75,2019,1,12.51
20.5,74.375,2019,1,10.13
20.5,75.0,2019,1,10.59
20.5,75.625,2019,1,10.63
20.5,76.25,2019,1,11.59
20.5,76.875,2019,1,12.54
20.5,77.5,2019,1,11.44
20.5,78.125,2019,1,9.92
20.5,78.75,2019,1,8.96
20.5,79.375,2019,1,8.58
20.5,80.0,2019,1,8.68
20.5,80.625,2019,1,8.75
21.0,73.125,2019,1,14.17
21.0,73.75,2019,1,13.8
21.0,74.375,2019,1,10.86
21.0,75.0,2019,1,11.24
21.0,75.625,2019,1,11.28
21.0,76.25,2019,1,11.93
21.0,76.875,2019,1,12.05
21.0,77.5,2019,1,11.25
21.0,78.125,2019,1,10.2
21.0,78.75,2019,1,9.23
21.0,79.375,2019,1,8.46
21.0,80.0,2019,1,8.05
21.0,80.625,2019,1,7.74
21.5,73.125,2019,1,12.66
21.5,73.75,2019,1,13.03
21.5,74.375,2019,1,10.58
21.5,75.0,2019,1,10.41
21.5,75.625,2019,1,10.67
21.5,76.25,2019,1,11.6
21.5,76.875,2019,1,12.24
21.5,77.5,2019,1,11.9
21.5,78.125,2019,1,10.76
21.5,78.75,2019,1,9.71
21.5,79.375,2019,1,8.54
21.5,80.0,2019,1,8.01
21.5,80.625,2019,1,7.25
22.0,73.125,2019,1,11.83
22.0,73.75,2019,1,11.99
22.0,74.375,2019,1,9.89
22.0,75.0,2019,1,9.4
22.0,75.625,2019,1,10.04
22.0,76.25,2019,1,10.97
22.0,76.875,2019,1,12.25
22.0,77.5,2019,1,12.24
22.0,78.125,2019,1,11.74
22.0,78.75,2019,1,10.94
22.0,79.375,2019,1,8.82
22.0,80.0,2019,1,8.15
22.0,80.625,2019,1,7.86
20.0,73.125,2019,2,14.89
20.0,73.75,2019,2,13.6
20.0,74.375,2019,2,11.86
20.0,75.0,2019,2,10.64
20.0,75.625,2019,2,10.75
20.0,76.25,2019,2,10.67
20.0,76.875,2019,2,10.85
20.0,77.5,2019,2,11.19
20.0,78.125,2019,2,12.2
20.0,78.75,2019,2,11.27
20.0,79.375,2019,2,10.18
20.0,80.0,2019,2,10.35
20.0,80.625,2019,2,10.53
20.5,73.125,2019,2,15.96
20.5,73.75,2019,2,16.02
20.5,74.375,2019,2,13.78
20.5,75.0,2019,2,11.02
20.5,75.625,2019,2,10.9
20.5,76.25,2019,2,10.74
20.5,76.875,2019,2,11.19
20.5,77.5,2019,2,11.42
20.5,78.125,2019,2,11.54
20.5,78.75,2019,2,10.2
20.5,79.375,2019,2,9.95
20.5,80.0,2019,2,9.91
20.5,80.625,2019,2,9.69
21.0,73.125,2019,2,16.21
21.0,73.75,2019,2,17.42
21.0,74.375,2019,2,15.84
21.0,75.0,2019,2,13.08
21.0,75.625,2019,2,11.65
21.0,76.25,2019,2,11.01
21.0,76.875,2019,2,11.24
21.0,77.5,2019,2,12.16
21.0,78.125,2019,2,11.29
21.0,78.75,2019,2,9.86
21.0,79.375,2019,2,9.23
21.0,80.0,2019,2,9.07
21.0,80.625,2019,2,8.8
21.5,73.125,2019,2,15.27
21.5,73.75,2019,2,16.97
21.5,74.375,2019,2,16.03
21.5,75.0,2019,2,14.01
21.5,75.625,2019,2,11.22
21.5,76.25,2019,2,10.36
21.5,76.875,2019,2,10.48
21.5,77.5,2019,2,11.65
21.5,78.125,2019,2,12.7
21.5,78.75,2019,2,12.04
21.5,79.375,2019,2,10.43
21.5,80.0,2019,2,9.43
21.5,80.625,2019,2,8.92
22.0,73.125,2019,2,14.26
22.0,73.75,2019,2,15.67
22.0,74.375,2019,2,14.57
22.0,75.0,2019,2,12.8
22.0,75.625,2019,2,11.55
22.0,76.25,2019,2,10.89
22.0,76.875,2019,2,11.34
22.0,77.5,2019,2,11.43
22.0,78.125,2019,2,12.55
22.0,78.75,2019,2,13.43
22.0,79.375,2019,2,13.51
22.0,80.0,2019,2,11.52
22.0,80.625,2019,2,11.0
20.0,73.125,2019,3,15.36
20.0,73.75,2019,3,12.51
20.0,74.375,2019,3,14.1
20.0,75.0,2019,3,14.64
20.0,75.625,2019,3,13.88
20.0,76.25,2019,3,13.63
20.0,76.875,2019,3,13.52
20.0,77.5,2019,3,12.95
20.0,78.125,2019,3,12.61
20.0,78.75,2019,3,12.77
20.0,79.375,2019,3,12.16
20.0,80.0,2019,3,11.43
20.0,80.625,2019,3,11.81
20.5,73.125,2019,3,15.02
20.5,73.75,2019,3,12.88
20.5,74.375,2019,3,13.73
20.5,75.0,2019,3,14.92
20.5,75.625,2019,3,14.55
20.5,76.25,2019,3,14.21
20.5,76.875,2019,3,13.73
20.5,77.5,2019,3,13.19
20.5,78.125,2019,3,12.46
20.5,78.75,2019,3,11.94
20.5,79.375,2019,3,11.98
20.5,80.0,2019,3,11.86
20.5,80.625,2019,3,11.66
21.0,73.125,2019,3,13.94
21.0,73.75,2019,3,12.97
21.0,74.375,2019,3,11.77
21.0,75.0,2019,3,12.76
21.0,75.625,2019,3,12.77
21.0,76.25,2019,3,12.97
21.0,76.875,2019,3,12.78
21.0,77.5,2019,3,11.54
21.0,78.125,2019,3,11.49
21.0,78.75,2019,3,10.79
21.0,79.375,2019,3,10.74
21.0,80.0,2019,3,10.88
21.0,80.625,2019,3,10.79
21.5,73.125,2019,3,12.61
21.5,73.75,2019,3,12.13
21.5,74.375,2019,3,9.81
21.5,75.0,2019,3,9.57
21.5,75.625,2019,3,9.12
21.5,76.25,2019,3,9.32
21.5,76.875,2019,3,10.27
21.5,77.5,2019,3,10.27
21.5,78.125,2019,3,10.87
21.5,78.75,2019,3,10.76
21.5,79.375,2019,3,10.37
21.5,80.0,2019,3,9.95
21.5,80.625,2019,3,9.23
22.0,73.125,2019,3,11.62
22.0,73.75,2019,3,11.29
