-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
20.0,73.125,2017,1,23.73
20.0,73.75,2017,1,21.38
20.0,74.375,2017,1,21.61
20.0,75.0,2017,1,22.41
20.0,75.625,2017,1,21.87
20.0,76.25,2017,1,21.44
20.0,76.875,2017,1,21.25
20.0,77.5,2017,1,21.2
20.0,78.125,2017,1,21.23
20.0,78.75,2017,1,20.96
20.0,79.375,2017,1,21.05
20.0,80.0,2017,1,20.75
20.0,80.625,2017,1,20.07
20.5,73.125,2017,1,23.88
20.5,73.75,2017,1,21.96
20.5,74.375,2017,1,21.61
20.5,75.0,2017,1,22.58
20.5,75.625,2017,1,22.07
20.5,76.25,2017,1,21.88
20.5,76.875,2017,1,21.81
20.5,77.5,2017,1,21.34
20.5,78.125,2017,1,20.69
20.5,78.75,2017,1,20.18
20.5,79.375,2017,1,20.24
20.5,80.0,2017,1,19.89
20.5,80.625,2017,1,19.17
21.0,73.125,2017,1,23.87
21.0,73.75,2017,1,23.13
21.0,74.375,2017,1,22.49
21.0,75.0,2017,1,23.23
21.0,75.625,2017,1,22.44
21.0,76.25,2017,1,22.0
21.0,76.875,2017,1,21.8
21.0,77.5,2017,1,21.46
21.0,78.125,2017,1,20.91
21.0,78.75,2017,1,20.14
21.0,79.375,2017,1,20.39
21.0,80.0,2017,1,20.02
21.0,80.625,2017,1,19.32
21.5,73.125,2017,1,23.75
21.5,73.75,2017,1,23.44
21.5,74.375,2017,1,22.79
21.5,75.0,2017,1,22.34
21.5,75.625,2017,1,21.29
21.5,76.25,2017,1,20.68
21.5,76.875,2017,1,20.68
21.5,77.5,2017,1,20.39
21.5,78.125,2017,1,20.7
21.5,78.75,2017,1,20.28
21.5,79.375,2017,1,20.1
21.5,80.0,2017,1,20.16
21.5,80.625,2017,1,19.49
22.0,73.125,2017,1,23.64
22.0,73.75,2017,1,23.11
22.0,74.375,2017,1,21.86
22.0,75.0,2017,1,21.25
22.0,75.625,2017,1,20.93
22.0,76.25,2017,1,20.56
22.0,76.875,2017,1,21.2
22.0,77.5,2017,1,20.45
22.0,78.125,2017,1,19.92
22.0,78.75,2017,1,19.3
22.0,79.375,2017,1,19.02
22.0,80.0,2017,1,19.65
22.0,80.625,2017,1,19.4
20.0,73.125,2017,2,23.57
20.0,73.75,2017,2,20.64
20.0,74.375,2017,2,20.17
20.0,75.0,2017,2,20.59
20.0,75.625,2017,2,20.76
20.0,76.25,2017,2,20.89
20.0,76.875,2017,2,20.76
20.0,77.5,2017,2,20.42
20.0,78.125,2017,2,20.71
20.0,78.75,2017,2,20.77
20.0,79.375,2017,2,20.83
20.0,80.0,2017,2,20.51
20.0,80.625,2017,2,19.9
20.5,73.125,2017,2,23.57
20.5,73.75,2017,2,21.01
20.5,74.375,2017,2,19.99
20.5,75.0,2017,2,20.61
20.5,75.625,2017,2,20.64
20.5,76.25,2017,2,20.4
20.5,76.875,2017,2,20.89
20.5,77.5,2017,2,20.81
20.5,78.125,2017,2,20.45
20.5,78.75,2017,2,19.83
20.5,79.375,2017,2,19.58
20.5,80.0,2017,2,19.32
20.5,80.625,2017,2,19.02
21.0,73.125,2017,2,23.23
21.0,73.75,2017,2,21.8
21.0,74.375,2017,2,20.16
21.0,75.0,2017,2,20.73
21.0,75.625,2017,2,20.43
21.0,76.25,2017,2,20.02
21.0,76.875,2017,2,20.99
21.0,77.5,2017,2,21.11
21.0,78.125,2017,2,20.83
21.0,78.75,2017,2,19.87
21.0,79.375,2017,2,19.71
21.0,80.0,2017,2,19.38
21.0,80.625,2017,2,18.92
21.5,73.125,2017,2,22.51
21.5,73.75,2017,2,21.74
21.5,74.375,2017,2,20.05
21.5,75.0,2017,2,19.63
21.5,75.625,2017,2,18.8
21.5,76.25,2017,2,18.24
21.5,76.875,2017,2,18.99
21.5,77.5,2017,2,19.09
21.5,78.125,2017,2,19.78
21.5,78.75,2017,2,19.98
21.5,79.375,2017,2,20.05
21.5,80.0,2017,2,19.85
21.5,80.625,2017,2,18.99
22.0,73.125,2017,2,21.49
22.0,73.75,2017,2,20.92
22.0,74.375,2017,2,19.23
22.0,75.0,2017,2,18.84
22.0,75.625,2017,2,18.45
22.0,76.25,2017,2,17.71
22.0,76.875,2017,2,18.12
22.0,77.5,2017,2,17.84
22.0,78.125,2017,2,17.72
22.0,78.75,2017,2,17.94
22.0,79.375,2017,2,18.5
22.0,80.0,2017,2,19.08
22.0,80.625,2017,2,18.55
20.0,73.125,2017,3,24.01
20.0,73.75,2017,3,20.04
20.0,74.375,2017,3,18.9
20.0,75.0,2017,3,19.12
20.0,75.625,2017,3,18.52
20.0,76.25,2017,3,18.25
20.0,76.875,2017,3,18.35
20.0,77.5,2017,3,18.39
20.0,78.125,2017,3,18.69
20.0,78.75,2017,3,18.52
20.0,79.375,2017,3,18.53
20.0,80.0,2017,3,18.73
20.0,80.625,2017,3,18.45
